Positions with certain 1s (grass grows here):
(0,7)
(0,11)
(0,14)
(0,15)
(0,16)
(0,17)
(0,19)
(1,2)
(1,5)
(1,6)
(1,13)
(1,16)
(1,18)
(2,0)
(2,1)
(2,2)
(2,8)
(2,11)
(2,12)
(2,14)
(2,17)
(3,1)
(3,3)
(3,13)
(3,14)
(3,15)
(4,2)
(4,4)
(4,8)
(4,14)
(5,4)
(5,5)
(5,7)
(5,18)
(5,19)
(6,1)
(6,3)
(6,11)
(6,13)
(7,0)
(7,1)
(7,4)
(7,5)
(7,10)
(7,17)
(8,3)
(8,13)
(8,14)
(8,15)
(8,17)
(9,0)
(9,7)
(9,9)
(9,10)
(9,13)
(9,15)
(9,18)
(9,19)
(10,0)
(10,2)
(10,3)
(10,10)
(10,18)
(10,19)
(11,0)
(11,1)
(11,2)
(11,3)
(11,5)
(11,6)
(11,7)
(11,8)
(11,14)
(11,17)
(11,18)
(12,0)
(12,2)
(12,4)
(12,5)
(12,12)
(12,16)
(12,17)
(13,0)
(13,3)
(13,8)
(13,9)
(13,13)
(13,17)
(13,19)
(14,0)
(14,1)
(14,3)
(14,4)
(14,6)
(14,8)
(14,11)
(14,13)
(14,17)
(15,0)
(15,1)
(15,2)
(15,3)
(15,4)
(15,11)
(15,15)
(15,17)
(15,18)
(16,2)
(16,7)
(16,9)
(16,10)
(16,15)
(16,19)
(17,1)
(17,6)
(17,9)
(17,10)
(17,11)
(17,12)
(17,14)
(17,18)
(18,0)
(18,2)
(18,3)
(18,4)
(18,10)
(18,13)
(18,15)
(18,18)
(18,19)
(19,2)
(19,3)
(19,5)
(19,7)
(19,8)
(19,9)
(19,13)
(19,14)
(19,16)
(19,17)
(19,18)
(19,19)
